indicator_code,indicator_name,ref_area,year,value,unit,publisher,upstream_source,source_last_updated,retrieved_at,retrieval_mode,query_url
SH.DYN.MORT,Under-5 mortality rate,KEN,2010,53.1,"per 1,000 live births",World Bank World Development Indicators (WDI),"UN IGME (UN Inter-agency Group for Child Mortality Estimation, led by UNICEF/WHO/UN DESA/World Bank)",2026-04-08,2026-06-20T14:52:40Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/SH.DYN.MORT?format=json&date=2010:2023
SH.DYN.MORT,Under-5 mortality rate,KEN,2011,51.7,"per 1,000 live births",World Bank World Development Indicators (WDI),"UN IGME (UN Inter-agency Group for Child Mortality Estimation, led by UNICEF/WHO/UN DESA/World Bank)",2026-04-08,2026-06-20T14:52:40Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/SH.DYN.MORT?format=json&date=2010:2023
SH.DYN.MORT,Under-5 mortality rate,KEN,2012,50.7,"per 1,000 live births",World Bank World Development Indicators (WDI),"UN IGME (UN Inter-agency Group for Child Mortality Estimation, led by UNICEF/WHO/UN DESA/World Bank)",2026-04-08,2026-06-20T14:52:40Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/SH.DYN.MORT?format=json&date=2010:2023
SH.DYN.MORT,Under-5 mortality rate,KEN,2013,49.4,"per 1,000 live births",World Bank World Development Indicators (WDI),"UN IGME (UN Inter-agency Group for Child Mortality Estimation, led by UNICEF/WHO/UN DESA/World Bank)",2026-04-08,2026-06-20T14:52:40Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/SH.DYN.MORT?format=json&date=2010:2023
SH.DYN.MORT,Under-5 mortality rate,KEN,2014,48.3,"per 1,000 live births",World Bank World Development Indicators (WDI),"UN IGME (UN Inter-agency Group for Child Mortality Estimation, led by UNICEF/WHO/UN DESA/World Bank)",2026-04-08,2026-06-20T14:52:40Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/SH.DYN.MORT?format=json&date=2010:2023
SH.DYN.MORT,Under-5 mortality rate,KEN,2015,46.8,"per 1,000 live births",World Bank World Development Indicators (WDI),"UN IGME (UN Inter-agency Group for Child Mortality Estimation, led by UNICEF/WHO/UN DESA/World Bank)",2026-04-08,2026-06-20T14:52:40Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/SH.DYN.MORT?format=json&date=2010:2023
SH.DYN.MORT,Under-5 mortality rate,KEN,2016,45.5,"per 1,000 live births",World Bank World Development Indicators (WDI),"UN IGME (UN Inter-agency Group for Child Mortality Estimation, led by UNICEF/WHO/UN DESA/World Bank)",2026-04-08,2026-06-20T14:52:40Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/SH.DYN.MORT?format=json&date=2010:2023
SH.DYN.MORT,Under-5 mortality rate,KEN,2017,44.7,"per 1,000 live births",World Bank World Development Indicators (WDI),"UN IGME (UN Inter-agency Group for Child Mortality Estimation, led by UNICEF/WHO/UN DESA/World Bank)",2026-04-08,2026-06-20T14:52:40Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/SH.DYN.MORT?format=json&date=2010:2023
SH.DYN.MORT,Under-5 mortality rate,KEN,2018,43.7,"per 1,000 live births",World Bank World Development Indicators (WDI),"UN IGME (UN Inter-agency Group for Child Mortality Estimation, led by UNICEF/WHO/UN DESA/World Bank)",2026-04-08,2026-06-20T14:52:40Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/SH.DYN.MORT?format=json&date=2010:2023
SH.DYN.MORT,Under-5 mortality rate,KEN,2019,42.7,"per 1,000 live births",World Bank World Development Indicators (WDI),"UN IGME (UN Inter-agency Group for Child Mortality Estimation, led by UNICEF/WHO/UN DESA/World Bank)",2026-04-08,2026-06-20T14:52:40Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/SH.DYN.MORT?format=json&date=2010:2023
SH.DYN.MORT,Under-5 mortality rate,KEN,2020,42.1,"per 1,000 live births",World Bank World Development Indicators (WDI),"UN IGME (UN Inter-agency Group for Child Mortality Estimation, led by UNICEF/WHO/UN DESA/World Bank)",2026-04-08,2026-06-20T14:52:40Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/SH.DYN.MORT?format=json&date=2010:2023
SH.DYN.MORT,Under-5 mortality rate,KEN,2021,41.3,"per 1,000 live births",World Bank World Development Indicators (WDI),"UN IGME (UN Inter-agency Group for Child Mortality Estimation, led by UNICEF/WHO/UN DESA/World Bank)",2026-04-08,2026-06-20T14:52:40Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/SH.DYN.MORT?format=json&date=2010:2023
SH.DYN.MORT,Under-5 mortality rate,KEN,2022,40.5,"per 1,000 live births",World Bank World Development Indicators (WDI),"UN IGME (UN Inter-agency Group for Child Mortality Estimation, led by UNICEF/WHO/UN DESA/World Bank)",2026-04-08,2026-06-20T14:52:40Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/SH.DYN.MORT?format=json&date=2010:2023
SH.DYN.MORT,Under-5 mortality rate,KEN,2023,39.6,"per 1,000 live births",World Bank World Development Indicators (WDI),"UN IGME (UN Inter-agency Group for Child Mortality Estimation, led by UNICEF/WHO/UN DESA/World Bank)",2026-04-08,2026-06-20T14:52:40Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/SH.DYN.MORT?format=json&date=2010:2023
SP.DYN.IMRT.IN,Infant mortality rate,KEN,2015,38.9,"per 1,000 live births",World Bank World Development Indicators (WDI),"UN IGME (UN Inter-agency Group for Child Mortality Estimation, led by UNICEF/WHO/UN DESA/World Bank)",2026-04-08,2026-06-20T14:52:40Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/SP.DYN.IMRT.IN?format=json&date=2015:2023
SP.DYN.IMRT.IN,Infant mortality rate,KEN,2016,38.4,"per 1,000 live births",World Bank World Development Indicators (WDI),"UN IGME (UN Inter-agency Group for Child Mortality Estimation, led by UNICEF/WHO/UN DESA/World Bank)",2026-04-08,2026-06-20T14:52:40Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/SP.DYN.IMRT.IN?format=json&date=2015:2023
SP.DYN.IMRT.IN,Infant mortality rate,KEN,2017,38.2,"per 1,000 live births",World Bank World Development Indicators (WDI),"UN IGME (UN Inter-agency Group for Child Mortality Estimation, led by UNICEF/WHO/UN DESA/World Bank)",2026-04-08,2026-06-20T14:52:40Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/SP.DYN.IMRT.IN?format=json&date=2015:2023
SP.DYN.IMRT.IN,Infant mortality rate,KEN,2018,37.5,"per 1,000 live births",World Bank World Development Indicators (WDI),"UN IGME (UN Inter-agency Group for Child Mortality Estimation, led by UNICEF/WHO/UN DESA/World Bank)",2026-04-08,2026-06-20T14:52:40Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/SP.DYN.IMRT.IN?format=json&date=2015:2023
SP.DYN.IMRT.IN,Infant mortality rate,KEN,2019,37.0,"per 1,000 live births",World Bank World Development Indicators (WDI),"UN IGME (UN Inter-agency Group for Child Mortality Estimation, led by UNICEF/WHO/UN DESA/World Bank)",2026-04-08,2026-06-20T14:52:40Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/SP.DYN.IMRT.IN?format=json&date=2015:2023
SP.DYN.IMRT.IN,Infant mortality rate,KEN,2020,36.5,"per 1,000 live births",World Bank World Development Indicators (WDI),"UN IGME (UN Inter-agency Group for Child Mortality Estimation, led by UNICEF/WHO/UN DESA/World Bank)",2026-04-08,2026-06-20T14:52:40Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/SP.DYN.IMRT.IN?format=json&date=2015:2023
SP.DYN.IMRT.IN,Infant mortality rate,KEN,2021,36.0,"per 1,000 live births",World Bank World Development Indicators (WDI),"UN IGME (UN Inter-agency Group for Child Mortality Estimation, led by UNICEF/WHO/UN DESA/World Bank)",2026-04-08,2026-06-20T14:52:40Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/SP.DYN.IMRT.IN?format=json&date=2015:2023
SP.DYN.IMRT.IN,Infant mortality rate,KEN,2022,35.5,"per 1,000 live births",World Bank World Development Indicators (WDI),"UN IGME (UN Inter-agency Group for Child Mortality Estimation, led by UNICEF/WHO/UN DESA/World Bank)",2026-04-08,2026-06-20T14:52:40Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/SP.DYN.IMRT.IN?format=json&date=2015:2023
SP.DYN.IMRT.IN,Infant mortality rate,KEN,2023,34.7,"per 1,000 live births",World Bank World Development Indicators (WDI),"UN IGME (UN Inter-agency Group for Child Mortality Estimation, led by UNICEF/WHO/UN DESA/World Bank)",2026-04-08,2026-06-20T14:52:40Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/SP.DYN.IMRT.IN?format=json&date=2015:2023
SH.IMM.IDPT,DPT immunization coverage,KEN,2014,92,% of children 12-23 months,World Bank World Development Indicators (WDI),WHO/UNICEF Estimates of National Immunization Coverage (WUENIC),2026-04-08,2026-06-20T14:52:40Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/SH.IMM.IDPT?format=json&date=2014:2023
SH.IMM.IDPT,DPT immunization coverage,KEN,2015,89,% of children 12-23 months,World Bank World Development Indicators (WDI),WHO/UNICEF Estimates of National Immunization Coverage (WUENIC),2026-04-08,2026-06-20T14:52:40Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/SH.IMM.IDPT?format=json&date=2014:2023
SH.IMM.IDPT,DPT immunization coverage,KEN,2016,88,% of children 12-23 months,World Bank World Development Indicators (WDI),WHO/UNICEF Estimates of National Immunization Coverage (WUENIC),2026-04-08,2026-06-20T14:52:40Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/SH.IMM.IDPT?format=json&date=2014:2023
SH.IMM.IDPT,DPT immunization coverage,KEN,2017,81,% of children 12-23 months,World Bank World Development Indicators (WDI),WHO/UNICEF Estimates of National Immunization Coverage (WUENIC),2026-04-08,2026-06-20T14:52:40Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/SH.IMM.IDPT?format=json&date=2014:2023
SH.IMM.IDPT,DPT immunization coverage,KEN,2018,91,% of children 12-23 months,World Bank World Development Indicators (WDI),WHO/UNICEF Estimates of National Immunization Coverage (WUENIC),2026-04-08,2026-06-20T14:52:40Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/SH.IMM.IDPT?format=json&date=2014:2023
SH.IMM.IDPT,DPT immunization coverage,KEN,2019,93,% of children 12-23 months,World Bank World Development Indicators (WDI),WHO/UNICEF Estimates of National Immunization Coverage (WUENIC),2026-04-08,2026-06-20T14:52:40Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/SH.IMM.IDPT?format=json&date=2014:2023
SH.IMM.IDPT,DPT immunization coverage,KEN,2020,93,% of children 12-23 months,World Bank World Development Indicators (WDI),WHO/UNICEF Estimates of National Immunization Coverage (WUENIC),2026-04-08,2026-06-20T14:52:40Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/SH.IMM.IDPT?format=json&date=2014:2023
SH.IMM.IDPT,DPT immunization coverage,KEN,2021,95,% of children 12-23 months,World Bank World Development Indicators (WDI),WHO/UNICEF Estimates of National Immunization Coverage (WUENIC),2026-04-08,2026-06-20T14:52:40Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/SH.IMM.IDPT?format=json&date=2014:2023
SH.IMM.IDPT,DPT immunization coverage,KEN,2022,94,% of children 12-23 months,World Bank World Development Indicators (WDI),WHO/UNICEF Estimates of National Immunization Coverage (WUENIC),2026-04-08,2026-06-20T14:52:40Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/SH.IMM.IDPT?format=json&date=2014:2023
SH.IMM.IDPT,DPT immunization coverage,KEN,2023,93,% of children 12-23 months,World Bank World Development Indicators (WDI),WHO/UNICEF Estimates of National Immunization Coverage (WUENIC),2026-04-08,2026-06-20T14:52:40Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/SH.IMM.IDPT?format=json&date=2014:2023
SH.STA.STNT.ZS,Stunting prevalence (under-5),KEN,2014,26.2,% of children under 5,World Bank World Development Indicators (WDI),UNICEF/WHO/World Bank Joint Child Malnutrition Estimates (JME),2026-04-08,2026-06-20T14:52:40Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/SH.STA.STNT.ZS?format=json&date=2014:2023
SH.STA.STNT.ZS,Stunting prevalence (under-5),KEN,2015,,% of children under 5,World Bank World Development Indicators (WDI),UNICEF/WHO/World Bank Joint Child Malnutrition Estimates (JME),2026-04-08,2026-06-20T14:52:40Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/SH.STA.STNT.ZS?format=json&date=2014:2023
SH.STA.STNT.ZS,Stunting prevalence (under-5),KEN,2016,28.6,% of children under 5,World Bank World Development Indicators (WDI),UNICEF/WHO/World Bank Joint Child Malnutrition Estimates (JME),2026-04-08,2026-06-20T14:52:40Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/SH.STA.STNT.ZS?format=json&date=2014:2023
SH.STA.STNT.ZS,Stunting prevalence (under-5),KEN,2017,,% of children under 5,World Bank World Development Indicators (WDI),UNICEF/WHO/World Bank Joint Child Malnutrition Estimates (JME),2026-04-08,2026-06-20T14:52:40Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/SH.STA.STNT.ZS?format=json&date=2014:2023
SH.STA.STNT.ZS,Stunting prevalence (under-5),KEN,2018,,% of children under 5,World Bank World Development Indicators (WDI),UNICEF/WHO/World Bank Joint Child Malnutrition Estimates (JME),2026-04-08,2026-06-20T14:52:40Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/SH.STA.STNT.ZS?format=json&date=2014:2023
SH.STA.STNT.ZS,Stunting prevalence (under-5),KEN,2019,,% of children under 5,World Bank World Development Indicators (WDI),UNICEF/WHO/World Bank Joint Child Malnutrition Estimates (JME),2026-04-08,2026-06-20T14:52:40Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/SH.STA.STNT.ZS?format=json&date=2014:2023
SH.STA.STNT.ZS,Stunting prevalence (under-5),KEN,2020,,% of children under 5,World Bank World Development Indicators (WDI),UNICEF/WHO/World Bank Joint Child Malnutrition Estimates (JME),2026-04-08,2026-06-20T14:52:40Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/SH.STA.STNT.ZS?format=json&date=2014:2023
SH.STA.STNT.ZS,Stunting prevalence (under-5),KEN,2021,,% of children under 5,World Bank World Development Indicators (WDI),UNICEF/WHO/World Bank Joint Child Malnutrition Estimates (JME),2026-04-08,2026-06-20T14:52:40Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/SH.STA.STNT.ZS?format=json&date=2014:2023
SH.STA.STNT.ZS,Stunting prevalence (under-5),KEN,2022,17.6,% of children under 5,World Bank World Development Indicators (WDI),UNICEF/WHO/World Bank Joint Child Malnutrition Estimates (JME),2026-04-08,2026-06-20T14:52:40Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/SH.STA.STNT.ZS?format=json&date=2014:2023
SH.STA.STNT.ZS,Stunting prevalence (under-5),KEN,2023,,% of children under 5,World Bank World Development Indicators (WDI),UNICEF/WHO/World Bank Joint Child Malnutrition Estimates (JME),2026-04-08,2026-06-20T14:52:40Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/SH.STA.STNT.ZS?format=json&date=2014:2023
